Product Title,SKU,Parent Category,Categories,Parent Category 2,Color Categorires,Parent Category 3,Autor Category,Amostra,Images,,,Tags
Papel de Parede Industrial Aço Corten,PPRIND19001,Papel de parede,Industrial,Cor,Laranja,Autor,PauloRAZZ,https://ipapel.com.br/wp-content/uploads/2022/05/PPRIND19001-Amostra.jpg,"PPRIND19001.webp,PPRIND19001-AMBIENTE.webp",PPRIND19001.webp,PPRIND19001-AMBIENTE.webp,Laranja
Papel de Parede Industrial Aço Corten,PPRIND19002,Papel de parede,Industrial,Cor,Laranja,Autor,PauloRAZZ,https://ipapel.com.br/wp-content/uploads/2022/05/PPRIND19002-Amostra.jpg,"PPRIND19002.webp,PPRIND19002-AMBIENTE.webp",PPRIND19002.webp,PPRIND19002-AMBIENTE.webp,Laranja
Papel de Parede Industrial Aço Corten,PPRIND19003,Papel de parede,Industrial,Cor,Laranja,Autor,PauloRAZZ,https://ipapel.com.br/wp-content/uploads/2022/05/PPRIND19003-Amostra.jpg,"PPRIND19003.webp,PPRIND19003-AMBIENTE.webp",PPRIND19003.webp,PPRIND19003-AMBIENTE.webp,Laranja
Papel de Parede Industrial Aço Corten,PPRIND19004,Papel de parede,Industrial,Cor,Laranja,Autor,PauloRAZZ,https://ipapel.com.br/wp-content/uploads/2022/05/PPRIND19004-Amostra.jpg,"PPRIND19004.webp,PPRIND19004-AMBIENTE.webp",PPRIND19004.webp,PPRIND19004-AMBIENTE.webp,Laranja
Papel de Parede Industrial Aço ,PPRIND19005,Papel de parede,Industrial,Cor,Marrom,Autor,PauloRAZZ,https://ipapel.com.br/wp-content/uploads/2022/05/PPRIND19005-Amostra.jpg,"PPRIND19005.webp,PPRIND19005-AMBIENTE.webp",PPRIND19005.webp,PPRIND19005-AMBIENTE.webp,Marrom
Papel de Parede Industrial Aço ,PPRIND19006,Papel de parede,Industrial,Cor,Marrom,Autor,PauloRAZZ,https://ipapel.com.br/wp-content/uploads/2022/05/PPRIND19006-Amostra.jpg,"PPRIND19006.webp,PPRIND19006-AMBIENTE.webp",PPRIND19006.webp,PPRIND19006-AMBIENTE.webp,Marrom
Papel de Parede Industrial Aço ,PPRIND19007,Papel de parede,Industrial,Cor,Marrom,Autor,PauloRAZZ,https://ipapel.com.br/wp-content/uploads/2022/05/PPRIND19007-Amostra.jpg,"PPRIND19007.webp,PPRIND19007-AMBIENTE.webp",PPRIND19007.webp,PPRIND19007-AMBIENTE.webp,Marrom
Papel de Parede Industrial Aço Enferruajdo,PPRIND19008,Papel de parede,Industrial,Cor,Marrom,Autor,PauloRAZZ,https://ipapel.com.br/wp-content/uploads/2022/05/PPRIND19008-Amostra.jpg,"PPRIND19008.webp,PPRIND19008-AMBIENTE.webp",PPRIND19008.webp,PPRIND19008-AMBIENTE.webp,Marrom
Papel de Parede Industrial Aço Enferruajdo,PPRIND19009,Papel de parede,Industrial,Cor,Marrom,Autor,PauloRAZZ,https://ipapel.com.br/wp-content/uploads/2022/05/PPRIND19009-Amostra.jpg,"PPRIND19009.webp,PPRIND19009-AMBIENTE.webp",PPRIND19009.webp,PPRIND19009-AMBIENTE.webp,Marrom
Papel de Parede Industrial Aço Enferruajdo,PPRIND19010,Papel de parede,Industrial,Cor,Cinza,Autor,PauloRAZZ,https://ipapel.com.br/wp-content/uploads/2022/05/PPRIND19010-Amostra.jpg,"PPRIND19010.webp,PPRIND19010-AMBIENTE.webp",PPRIND19010.webp,PPRIND19010-AMBIENTE.webp,Cinza
